A,B
ywhab,camk2a
ywhab,s1pr1
ywhab,itsn1
ywhab,actn1
ywhab,eif3d
ywhab,park7
ywhab,hspa8
ywhab,actr3
ywhab,tuba1a
ywhab,rara
ywhab,sod1
ywhab,add3
ywhab,eef2
ywhab,mdh2
ywhab,myh9
ywhab,aldoa
ywhab,kalrn
ywhab,cyfip2
ywhab,nckap1
ywhab,itgb2
ywhab,atp2a2
ywhab,ehmt2
ywhab,sdha
ywhab,soat1
ywhab,slc25a3
ywhab,basp1
ywhab,lrp1
ywhab,ptprs
ywhab,macf1
ywhab,prkce
ywhab,olfm1
ywhab,slc25a12
ywhab,rpn1
ywhab,ddx5
ywhab,gja1
ywhab,add1
ywhab,vim
ywhab,atp1a3
ywhab,ap2a2
ywhab,bin1
ywhab,kif2a
ywhab,l1cam
ywhab,mpp6
ywhab,nsf
ywhab,nrip1
ywhab,bcl2l11
ywhab,vps35
ywhab,picalm
ywhab,slc25a4
ywhab,canx
ywhab,eef1g
ywhab,eef1b2
ywhab,dpysl2
ywhab,ncam1
ywhab,prkar2b
ywhab,baiap2
ywhab,kcnab2
ywhab,actr2
ywhab,pdia6
ywhab,pfkm
ywhab,nlgn2
ywhab,pfkp
ywhab,immt
ywhab,gnai2
ywhab,cnp
ywhab,ndufs2
ywhab,cs
ywhab,uqcrc2
ywhab,atp5a1
ywhab,dync1h1
ywhab,tpm3
ywhab,stxbp1
ywhab,slc25a13
ywhab,phb2
ywhab,gria3
ywhab,capzb
ywhab,tbc1d4
ywhab,ppp1r9b
ywhab,clta
ywhab,ccl5
ywhab,cct7
ywhab,nrgn
ywhab,rps8
ywhab,fes
ywhab,chchd3
ywhab,cit
ywhab,rpl4
ywhab,csnk1a1
ywhab,slc25a5
ywhab,erc1
ywhab,idh3b
ywhab,arhgef2
ywhab,gsn
ywhab,dlat
ywhab,myh10
ywhab,pdhb
ywhab,dock7
ywhab,rps3
ywhab,lrpprc
ywhab,atf7ip
ywhab,zfp36
ywhab,prkcb
